OBJECTID,FID_GRID_TAZ_50_100,grid_id,Grid_Area,FID_amap_TAZ_district_adjust,FID_1,TAZ,NO,FID_2,ID,SNAME,area,code,ORIG_FID,Distance,NewArea,Shape_Length,Shape_Area,segArea
1187,1538,1538,830751.7928,258,320,120,12,258,1280,LH005-02-02,1991813.597,128,258,0,1979560,0.026828595,4.02227E-05,458733.9375
1188,1538,1538,830751.7928,260,211,119,11,260,1270,LH005-01-10,1400987.926,127,260,0,1390990,0.010430716,5.30601E-06,60514.90234
1189,1538,1538,830751.7928,267,216,121,13,267,1290,LH005-T1-01,7785730.618,129,267,0,7734980,0.009722946,2.61615E-06,29836.14258
1190,1539,1539,830740.6211,140,215,215,28,140,2160,FT002-T1-01,1726419.173,216,140,0,1715750,0.001571606,9.74173E-08,1111.059082
1191,1539,1539,830740.6211,258,320,120,12,258,1280,LH005-02-02,1991813.597,128,258,0,1979560,0.000607556,1.21003E-08,137.9999695
1192,1539,1539,830740.6211,260,211,119,11,260,1270,LH005-01-10,1400987.926,127,260,0,1390990,0.029829909,3.69562E-05,421478.4063
1193,1539,1539,830740.6211,267,216,121,13,267,1290,LH005-T1-01,7785730.618,129,267,0,7734980,0.029416482,3.57759E-05,408013.5313
1194,1540,1540,830729.4835,260,211,119,11,260,1270,LH005-01-10,1400987.926,127,260,0,1390990,0.029097466,2.60812E-05,297448.1875
1195,1540,1540,830729.4835,262,205,1132,463,262,1250,LH004-02-01,1201714.769,125,262,0,1192510,0.02078744,2.52024E-05,287420.7813
1196,1540,1540,830729.4835,263,207,208,22,263,2180,FT002-02-03,1163624.092,218,263,0,1155250,0.005042664,8.27106E-07,9433.086914
1197,1540,1540,830729.4835,267,216,121,13,267,1290,LH005-T1-01,7785730.618,129,267,0,7734980,0.016828409,1.3558E-05,154622.4531
1198,1540,1540,830729.4835,437,206,1125,457,437,1240,LH004-01-09,715534.8398,124,437,0,709935,0.011906725,7.17285E-06,81804.96875
1199,1541,1541,830718.3801,262,205,1132,463,262,1250,LH004-02-01,1201714.769,125,262,0,1192510,0.02502615,2.35975E-05,269115.6563
1200,1541,1541,830718.3801,429,204,1124,456,429,1230,LH004-01-09,1087909.78,123,429,0,1079170,0.022196944,2.75376E-05,314051.9375
1201,1541,1541,830718.3801,437,206,1125,457,437,1240,LH004-01-09,715534.8398,124,437,0,709935,0.018625244,2.17064E-05,247553.9688
1202,1542,1542,830707.3107,261,194,1131,462,261,1260,LH004-02-01,1076380.985,126,261,0,1068040,0.006539938,2.18143E-06,24877.08203
1203,1542,1542,830707.3107,262,205,1132,463,262,1250,LH004-02-01,1201714.769,125,262,0,1192510,0.007108272,2.5413E-06,28981.14453
1204,1542,1542,830707.3107,429,204,1124,456,429,1230,LH004-01-09,1087909.78,123,429,0,1079170,0.018301933,1.45888E-05,166375.75
1205,1542,1542,830707.3107,430,202,115,10,430,1130,LH003-T1-01,729127.5845,113,430,0,723106,0.023510916,2.96033E-05,337605.6875
1206,1542,1542,830707.3107,448,200,1137,466,448,1190,LH003-04-07,1683647.525,119,448,0,1669300,0.010001301,3.66402E-06,41784.64844
1207,1542,1542,830707.3107,450,201,1129,460,450,1170,LH003-02-01,555148.0222,117,450,0,550483,0.020187733,2.02628E-05,231082.6563
1208,1543,1543,830696.2755,442,275,111,9,442,1160,LH003-01-08,1777054.637,116,442,0,1761320,0.012577443,7.64155E-06,87146.6875
1209,1543,1543,830696.2755,447,277,1134,464,447,1180,LH003-03-07,972845.9898,118,447,0,964252,0.023992133,3.42234E-05,390285.7188
1210,1543,1543,830696.2755,448,200,1137,466,448,1190,LH003-04-07,1683647.525,119,448,0,1669300,0.016875255,4.22803E-06,48218.78516
1211,1543,1543,830696.2755,449,276,1130,461,449,1150,LH003-02-01,555170.828,115,449,0,550427,0.006153036,1.0295E-06,11740.88086
1212,1543,1543,830696.2755,450,201,1129,460,450,1170,LH003-02-01,555148.0222,117,450,0,550483,0.021214057,2.57191E-05,293306.375
1213,1544,1544,830685.2744,114,179,109,7,114,1120,LH002-03-09,3180937.517,112,114,0,3151210,0.009003684,2.02197E-06,23058.84375
1214,1544,1544,830685.2744,442,275,111,9,442,1160,LH003-01-08,1777054.637,116,442,0,1761320,0.018170765,1.38867E-05,158365.8906
1215,1544,1544,830685.2744,446,191,1135,465,446,1200,LH003-04-07,1576283.904,120,446,0,1561880,0.016379196,7.77019E-06,88608.40625
1216,1544,1544,830685.2744,447,277,1134,464,447,1180,LH003-03-07,972845.9898,118,447,0,964252,0.030242875,4.91627E-05,560651.5625
1217,1545,1545,830674.3074,114,179,109,7,114,1120,LH002-03-09,3180937.517,112,114,0,3151210,0.030149969,2.98565E-05,340479.125
1218,1545,1545,830674.3074,410,180,123,14,410,1350,LH006-T1-01,3721948.632,135,410,0,3689440,0.026146799,3.99899E-05,456036.6875
1219,1545,1545,830674.3074,446,191,1135,465,446,1200,LH003-04-07,1576283.904,120,446,0,1561880,0.006966536,2.47587E-06,28233.93164
