OBJECTID,FID_amap_TAZ_district_adjust,FID_1,TAZ,NO,FID_2,ID,SNAME,area,code,ORIG_FID,Distance,NewArea,FID_grid_100,grid_area,grid_id,Shape_Length,Shape_Area,segArea
12050,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,13014,201781.5156,13013,0.011334903,6.53624E-06,74502.60938
12051,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,13015,201780.0313,13014,0.016845701,1.77026E-05,201779.9844
12052,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,13016,201778.5625,13015,0.015208377,1.37883E-05,157163.3281
12053,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,13017,204579.5313,13016,0.000397419,5.47444E-09,62.39857101
12054,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,13214,210947.1563,13213,0.008979548,5.06635E-06,57746.99219
12055,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,13215,210945.6094,13214,0.011153216,4.37989E-06,49922.85938
12056,373,461,597,144,373,5410,XBGY-38,2591235.186,541,373,0,2575190,13216,210944.0625,13215,0.000448781,6.73696E-09,76.78876495
12057,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,12624,201778.5938,12623,0.005475921,8.35045E-07,9517.96875
12058,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,12625,204579.5781,12624,0.002388197,2.6023E-07,2966.125
12059,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,12821,207891.5156,12820,0.009908029,5.77013E-06,65768.21094
12060,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,12822,207890,12821,0.013637101,1.05757E-05,120542.1797
12061,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,12823,207888.5,12822,0.015042734,1.31924E-05,150367.1875
12062,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,12824,207887,12823,0.016518646,1.75119E-05,199599.2969
12063,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,12825,210772.7813,12824,0.010070862,3.61636E-06,41218.65625
12064,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13021,201771.125,13020,0.011694051,6.27259E-06,71494
12065,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13022,201769.6719,13021,0.016845703,1.77026E-05,201769.6563
12066,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13023,201768.2031,13022,0.016845701,1.77026E-05,201768.1563
